run_id,placement_mode,total_num_envs,micro_batch_size,timestamp,rollout_avg_time_s,rollout_total_epochs,step_time_s,generate_rollouts_time_s,actor_run_training_time_s,env_interact_time_s,rollout_generate_one_epoch_time_s,monitor_duration_s,gpu01_mem_avg_mb,gpu01_mem_max_mb,gpu01_mem_stable_mb,gpu01_util_avg_pct,gpu01_util_max_pct,gpu23_mem_avg_mb,gpu23_mem_max_mb,gpu23_mem_stable_mb,gpu23_util_avg_pct,gpu23_util_max_pct,rollout_phase_gpu01_mem_avg_mb,rollout_phase_gpu23_mem_avg_mb,rollout_phase_duration_s,training_phase_gpu01_mem_avg_mb,training_phase_gpu23_mem_avg_mb,training_phase_duration_s,cpu_avg_util_pct,cpu_max_util_pct,mem_avg_util_pct,mem_max_util_pct
env16_mbs32,split,16,32,20260401-090509,66.79,8.0,1155.331,541.2,259.7,536.5,534.3,1330.01,12902.477611940298,20342.0,13849.268656716418,31.41417910447761,100.0,16968.119402985074,28943.0,19891.283582089553,28.563432835820894,100.0,16796.035714285714,16369.74,594.32,13826.317567567568,19662.716216216217,735.6899999999999,5.192313432835821,18.29,26.155671641791045,33.73
env32_mbs1,split,32,1,20260401-092728,123.99,8.0,2489.438,1005.6,1187.4,996.6,991.9,2670.01,18155.949626865673,20006.0,19854.861940298506,19.979477611940297,100.0,17171.257462686568,30261.0,18582.582089552237,18.53171641791045,100.0,18772.386363636364,16899.28125,1051.92,19959.341614906833,18391.14814814815,1618.0900000000001,4.719029850746268,27.09,36.69839552238807,44.48
env32_mbs2,split,32,2,20260401-101203,122.06,8.0,1945.601,986.9,835.9,979.1,976.5,2130.01,18019.432242990653,20006.0,20001.957943925234,16.88317757009346,100.0,16850.219626168226,30267.0,18536.551401869157,22.4696261682243,100.0,19526.870588235295,16880.548387096773,1036.48,19963.672727272726,18507.6,1093.5300000000002,4.423738317757008,23.48,36.88313084112149,44.71
env32_mbs4,split,32,4,20260401-104744,125.84,8.0,1997.592,1021.2,709.2,1012.0,1006.7,2180.009,17852.390410958906,20006.0,19956.79908675799,21.8675799086758,100.0,16757.182648401827,30237.0,18314.86301369863,25.990867579908677,100.0,18815.76404494382,16705.75257731959,1066.72,19952.852678571428,18296.116071428572,1113.289,4.6928767123287685,22.91,35.82269406392694,44.42
env32_mbs8,split,32,8,20260401-112412,118.42,8.0,1755.439,958.1,680.5,950.5,947.4,1940.009,17886.907692307694,20006.0,19979.88717948718,19.394871794871793,100.0,16742.376923076925,30269.0,18534.56923076923,29.274358974358975,100.0,19603.091463414636,16780.06077348066,1007.36,20001.308510638297,18574.021276595744,932.649,4.44051282051282,20.25,36.13482051282051,44.17
env32_mbs16,split,32,16,20260401-115642,121.11,8.0,1806.12,983.5,700.1,973.2,968.8,1990.009,17946.9675,20694.0,19750.07,18.9125,100.0,16908.1,28927.0,18825.85,31.945,100.0,19691.064705882352,16680.21505376344,1028.88,19950.859375,18867.628865979383,961.1289999999999,4.5794,26.4,36.06565,44.09
env32_mbs32,split,32,32,20260401-122956,120.17,8.0,1779.319,975.8,686.8,965.7,961.3,1970.01,17784.030303030304,20006.0,19717.959595959597,17.661616161616163,100.0,18036.11111111111,34473.0,21116.353535353537,34.176767676767675,100.0,19628.660714285714,16670.225806451614,1021.36,19915.324468085106,21269.673684210527,948.65,4.573737373737373,21.96,35.75762626262627,44.09
env64_mbs1,split,64,1,20260401-130249,237.9,8.0,4421.691,1924.4,2379.8,1911.0,1903.2,4590.005,30589.817391304347,32103.0,32101.5,18.527173913043477,100.0,17458.03043478261,30263.0,18233.704347826086,19.357608695652175,100.0,31442.851955307262,17179.502673796793,1963.2,32101.5,18319.114068441064,2626.8050000000003,4.394565217391304,34.02,58.04717391304349,66.88
env64_mbs2,split,64,2,20260401-141933,224.45,8.0,3571.318,1815.7,1568.4,1802.1,1795.6,3760.009,29877.745358090186,32105.0,32075.594164456234,22.3342175066313,100.0,17262.116710875333,30275.0,18344.64456233422,22.586206896551722,100.0,30854.954954954956,17079.346590909092,1855.6,32074.238219895287,18333.261780104713,1904.409,4.773713527851459,41.42,56.46981432360744,66.77
env64_mbs4,split,64,4,20260401-152225,219.58,8.0,3357.034,1776.8,1450.6,1762.2,1756.7,3550.009,30004.419943820223,32104.0,31919.261235955055,27.014044943820224,100.0,17270.68820224719,30253.0,18350.213483146068,31.26685393258427,100.0,31458.34662576687,17161.20348837209,1816.64,32101.0,18370.333333333332,1733.369,4.8169943820224725,30.56,56.2946629213483,66.95
env64_mbs8,split,64,8,20260401-162138,233.34,8.0,3407.466,1889.0,1389.0,1873.1,1866.7,3580.01,30181.733983286907,32104.0,32066.17548746518,24.944289693593316,100.0,17304.197771587744,30221.0,18297.445682451253,32.72701949860724,100.0,31463.1,17193.195652173912,1926.72,32101.5,18364.331325301206,1653.2900000000002,4.825877437325906,40.44,56.571197771587734,67.07
env64_mbs16,split,64,16,20260401-172133,232.6,8.0,3498.005,1878.8,1458.8,1866.3,1860.8,3690.011,29978.264864864865,32104.0,32093.8,25.433783783783785,100.0,17452.82027027027,29911.0,18636.29189189189,36.61756756756757,100.0,31089.27298850575,17163.15803814714,1920.8,32102.0,18688.77966101695,1769.211,4.8609459459459465,42.27,56.32600000000001,67.31
env64_mbs32,split,64,32,20260401-182308,227.56,8.0,3555.125,1839.6,1518.7,1825.2,1820.5,3740.009,29904.941333333332,32105.0,32101.082666666665,22.790666666666667,100.0,18907.522666666668,34521.0,21544.386666666665,39.02133333333333,100.0,30841.311764705883,17188.608938547484,1880.48,32101.932795698925,21577.204301075268,1859.529,4.785306666666666,34.15,56.335146666666674,67.02
env96_mbs1,split,96,1,20260401-192537,,,,,,,,22320.009,43715.76399462606,44269.0,44263.50246305419,5.975593372145096,100.0,17342.61038961039,21479.0,17475.0,0.012763098969995522,21.0,15938.5,12349.4,230.009,44183.30194658216,17475.0,22090.0,2.689941782355575,39.96,80.33012091356919,83.98
